data,valor
28/11/1984,2814
29/11/1984,2814
30/11/1984,2867
03/12/1984,2867
04/12/1984,2867
05/12/1984,2908
06/12/1984,2908
07/12/1984,2908
10/12/1984,2950
11/12/1984,2950
12/12/1984,2950
13/12/1984,2950
14/12/1984,2993
17/12/1984,2993
18/12/1984,2993
19/12/1984,2993
20/12/1984,3041
21/12/1984,3041
24/12/1984,3041
26/12/1984,3091
27/12/1984,3091
28/12/1984,3168
07/01/1985,3228
08/01/1985,3228
09/01/1985,3228
10/01/1985,3228
11/01/1985,3301
14/01/1985,3301
15/01/1985,3301
16/01/1985,3376
17/01/1985,3376
18/01/1985,3376
21/01/1985,3376
22/01/1985,3441
23/01/1985,3441
24/01/1985,3441
25/01/1985,3441
28/01/1985,3494
29/01/1985,3494
30/01/1985,3494
31/01/1985,3567
01/02/1985,3567
04/02/1985,3567
05/02/1985,3567
06/02/1985,3567
07/02/1985,3638
08/02/1985,3638
11/02/1985,3710
12/02/1985,3710
13/02/1985,3710
14/02/1985,3783
15/02/1985,3783
20/02/1985,3783
21/02/1985,3856
22/02/1985,3856
25/02/1985,3916
26/02/1985,3916
27/02/1985,3916
28/02/1985,3931
01/03/1985,3931
04/03/1985,3931
05/03/1985,3997
06/03/1985,3997
07/03/1985,3997
08/03/1985,3997
11/03/1985,4068
12/03/1985,4068
13/03/1985,4068
14/03/1985,4140
15/03/1985,4140
18/03/1985,4140
19/03/1985,4140
20/03/1985,4180
21/03/1985,4180
22/03/1985,4230
25/03/1985,4270
26/03/1985,4310
27/03/1985,4350
28/03/1985,4380
29/03/1985,4430
01/04/1985,4450
02/04/1985,4480
03/04/1985,4510
08/04/1985,4540
09/04/1985,4560
10/04/1985,4580
11/04/1985,4610
12/04/1985,4630
15/04/1985,4660
16/04/1985,4690
17/04/1985,4710
18/04/1985,4740
19/04/1985,4770
22/04/1985,4790
23/04/1985,4820
24/04/1985,4850
25/04/1985,4870
26/04/1985,4900
29/04/1985,4930
30/04/1985,4960
02/05/1985,4980
03/05/1985,5000
06/05/1985,5030
07/05/1985,5050
08/05/1985,5070
09/05/1985,5090
10/05/1985,5110
13/05/1985,5140
14/05/1985,5160
15/05/1985,5180
16/05/1985,5200
17/05/1985,5220
20/05/1985,5250
21/05/1985,5270
22/05/1985,5290
23/05/1985,5320
24/05/1985,5340
27/05/1985,5370
28/05/1985,5390
29/05/1985,5410
30/05/1985,5430
31/05/1985,5460
03/06/1985,5490
04/06/1985,5510
05/06/1985,5540
06/06/1985,5560
07/06/1985,5560
10/06/1985,5590
11/06/1985,5610
12/06/1985,5640
